Created as New Dataset,Monday, April 03 2023
cm-1,A
4000.00,0.0091
3999.00,0.0091
3998.00,0.0091
3997.00,0.0091
3996.00,0.0091
3995.00,0.0091
3994.00,0.0091
3993.00,0.0091
3992.00,0.0090
3991.00,0.0090
3990.00,0.0090
3989.00,0.0090
3988.00,0.0090
3987.00,0.0090
3986.00,0.0090
3985.00,0.0090
3984.00,0.0089
3983.00,0.0089
3982.00,0.0089
3981.00,0.0089
3980.00,0.0090
3979.00,0.0090
3978.00,0.0090
3977.00,0.0090
3976.00,0.0089
3975.00,0.0089
3974.00,0.0089
3973.00,0.0090
3972.00,0.0090
3971.00,0.0090
3970.00,0.0089
3969.00,0.0089
3968.00,0.0089
3967.00,0.0089
3966.00,0.0089
3965.00,0.0089
3964.00,0.0089
3963.00,0.0089
3962.00,0.0089
3961.00,0.0089
3960.00,0.0089
3959.00,0.0089
3958.00,0.0089
3957.00,0.0089
3956.00,0.0089
3955.00,0.0089
3954.00,0.0088
3953.00,0.0088
3952.00,0.0088
3951.00,0.0088
3950.00,0.0088
3949.00,0.0089
3948.00,0.0089
3947.00,0.0089
3946.00,0.0088
3945.00,0.0088
3944.00,0.0087
3943.00,0.0087
3942.00,0.0087
3941.00,0.0088
3940.00,0.0088
3939.00,0.0088
3938.00,0.0088
3937.00,0.0089
3936.00,0.0089
3935.00,0.0090
3934.00,0.0090
3933.00,0.0089
3932.00,0.0088
3931.00,0.0088
3930.00,0.0088
3929.00,0.0088
3928.00,0.0088
3927.00,0.0088
3926.00,0.0087
3925.00,0.0087
3924.00,0.0087
3923.00,0.0087
3922.00,0.0087
3921.00,0.0087
3920.00,0.0087
3919.00,0.0087
3918.00,0.0087
3917.00,0.0088
3916.00,0.0088
3915.00,0.0087
3914.00,0.0087
3913.00,0.0087
3912.00,0.0087
3911.00,0.0086
3910.00,0.0087
3909.00,0.0087
3908.00,0.0087
3907.00,0.0087
3906.00,0.0087
3905.00,0.0088
3904.00,0.0088
3903.00,0.0088
3902.00,0.0088
3901.00,0.0088
3900.00,0.0087
3899.00,0.0087
3898.00,0.0087
3897.00,0.0087
3896.00,0.0088
3895.00,0.0088
3894.00,0.0087
3893.00,0.0087
3892.00,0.0087
3891.00,0.0087
3890.00,0.0087
3889.00,0.0087
3888.00,0.0087
3887.00,0.0087
3886.00,0.0087
3885.00,0.0087
3884.00,0.0087
3883.00,0.0086
3882.00,0.0086
3881.00,0.0085
3880.00,0.0085
3879.00,0.0085
3878.00,0.0085
3877.00,0.0085
3876.00,0.0085
3875.00,0.0085
3874.00,0.0085
3873.00,0.0085
3872.00,0.0086
3871.00,0.0086
3870.00,0.0085
3869.00,0.0085
3868.00,0.0085
3867.00,0.0085
3866.00,0.0085
3865.00,0.0085
3864.00,0.0085
3863.00,0.0084
3862.00,0.0085
3861.00,0.0086
3860.00,0.0086
3859.00,0.0086
3858.00,0.0086
3857.00,0.0086
3856.00,0.0086
3855.00,0.0087
3854.00,0.0088
3853.00,0.0087
3852.00,0.0086
3851.00,0.0085
3850.00,0.0085
3849.00,0.0085
3848.00,0.0085
3847.00,0.0084
3846.00,0.0084
3845.00,0.0084
3844.00,0.0085
3843.00,0.0085
3842.00,0.0085
3841.00,0.0085
3840.00,0.0085
3839.00,0.0085
3838.00,0.0084
3837.00,0.0084
3836.00,0.0084
3835.00,0.0084
3834.00,0.0084
3833.00,0.0084
3832.00,0.0085
3831.00,0.0085
3830.00,0.0085
3829.00,0.0085
3828.00,0.0085
3827.00,0.0084
3826.00,0.0083
3825.00,0.0083
3824.00,0.0084
3823.00,0.0084
3822.00,0.0085
3821.00,0.0085
3820.00,0.0084
3819.00,0.0084
3818.00,0.0084
3817.00,0.0084
3816.00,0.0083
3815.00,0.0083
3814.00,0.0082
3813.00,0.0083
3812.00,0.0083
3811.00,0.0083
3810.00,0.0082
3809.00,0.0083
3808.00,0.0083
3807.00,0.0083
3806.00,0.0083
3805.00,0.0083
3804.00,0.0083
3803.00,0.0083
3802.00,0.0083
3801.00,0.0082
3800.00,0.0082
3799.00,0.0082
3798.00,0.0082
3797.00,0.0082
3796.00,0.0082
3795.00,0.0082
3794.00,0.0081
3793.00,0.0081
3792.00,0.0081
3791.00,0.0081
3790.00,0.0081
3789.00,0.0081
3788.00,0.0081
3787.00,0.0081
3786.00,0.0081
3785.00,0.0081
3784.00,0.0081
3783.00,0.0081
3782.00,0.0081
3781.00,0.0081
3780.00,0.0080
3779.00,0.0080
3778.00,0.0080
3777.00,0.0081
3776.00,0.0081
3775.00,0.0081
3774.00,0.0082
3773.00,0.0082
3772.00,0.0082
3771.00,0.0083
3770.00,0.0082
3769.00,0.0082
3768.00,0.0081
3767.00,0.0081
3766.00,0.0081
3765.00,0.0081
3764.00,0.0081
3763.00,0.0081
3762.00,0.0081
3761.00,0.0081
3760.00,0.0081
3759.00,0.0081
3758.00,0.0080
3757.00,0.0080
3756.00,0.0080
3755.00,0.0080
3754.00,0.0081
3753.00,0.0082
3752.00,0.0082
3751.00,0.0083
3750.00,0.0084
3749.00,0.0083
3748.00,0.0082
3747.00,0.0081
3746.00,0.0081
3745.00,0.0081
3744.00,0.0082
3743.00,0.0082
3742.00,0.0082
3741.00,0.0083
3740.00,0.0083
3739.00,0.0082
3738.00,0.0082
3737.00,0.0082
3736.00,0.0082
3735.00,0.0081
3734.00,0.0080
3733.00,0.0080
3732.00,0.0080
3731.00,0.0080
3730.00,0.0080
3729.00,0.0080
3728.00,0.0080
3727.00,0.0080
3726.00,0.0080
3725.00,0.0079
3724.00,0.0079
3723.00,0.0078
3722.00,0.0078
3721.00,0.0077
3720.00,0.0077
3719.00,0.0077
3718.00,0.0078
3717.00,0.0079
3716.00,0.0080
3715.00,0.0080
3714.00,0.0081
3713.00,0.0081
3712.00,0.0081
3711.00,0.0080
3710.00,0.0080
3709.00,0.0080
3708.00,0.0081
3707.00,0.0081
3706.00,0.0080
3705.00,0.0080
3704.00,0.0079
3703.00,0.0079
3702.00,0.0078
3701.00,0.0078
3700.00,0.0078
3699.00,0.0079
3698.00,0.0080
3697.00,0.0080
3696.00,0.0080
3695.00,0.0080
3694.00,0.0080
3693.00,0.0080
3692.00,0.0080
3691.00,0.0080
3690.00,0.0080
3689.00,0.0080
3688.00,0.0080
3687.00,0.0081
3686.00,0.0081
3685.00,0.0081
3684.00,0.0081
3683.00,0.0081
3682.00,0.0081
3681.00,0.0082
3680.00,0.0082
3679.00,0.0081
3678.00,0.0081
3677.00,0.0082
3676.00,0.0082
3675.00,0.0083
3674.00,0.0084
3673.00,0.0085
3672.00,0.0086
3671.00,0.0085
3670.00,0.0084
3669.00,0.0083
3668.00,0.0083
3667.00,0.0083
3666.00,0.0084
3665.00,0.0084
3664.00,0.0085
3663.00,0.0085
3662.00,0.0086
3661.00,0.0086
3660.00,0.0086
3659.00,0.0087
3658.00,0.0088
3657.00,0.0090
3656.00,0.0091
3655.00,0.0091
3654.00,0.0091
3653.00,0.0090
3652.00,0.0090
3651.00,0.0091
3650.00,0.0093
3649.00,0.0094
3648.00,0.0094
3647.00,0.0094
3646.00,0.0095
3645.00,0.0095
3644.00,0.0095
3643.00,0.0096
3642.00,0.0096
3641.00,0.0096
3640.00,0.0097
3639.00,0.0097
3638.00,0.0097
3637.00,0.0098
3636.00,0.0098
3635.00,0.0099
3634.00,0.0100
3633.00,0.0101
3632.00,0.0102
3631.00,0.0103
3630.00,0.0104
3629.00,0.0105
3628.00,0.0106
3627.00,0.0106
3626.00,0.0105
3625.00,0.0105
3624.00,0.0105
3623.00,0.0105
3622.00,0.0106
3621.00,0.0106
3620.00,0.0107
3619.00,0.0108
3618.00,0.0109
3617.00,0.0109
3616.00,0.0108
3615.00,0.0108
3614.00,0.0109
3613.00,0.0110
3612.00,0.0111
3611.00,0.0113
3610.00,0.0114
3609.00,0.0114
3608.00,0.0114
3607.00,0.0113
3606.00,0.0112
3605.00,0.0112
3604.00,0.0113
3603.00,0.0113
3602.00,0.0113
3601.00,0.0114
3600.00,0.0114
3599.00,0.0114
3598.00,0.0114
3597.00,0.0114
3596.00,0.0114
3595.00,0.0115
3594.00,0.0116
3593.00,0.0116
3592.00,0.0117
3591.00,0.0117
3590.00,0.0117
3589.00,0.0118
3588.00,0.0118
3587.00,0.0118
3586.00,0.0119
3585.00,0.0120
3584.00,0.0120
3583.00,0.0120
3582.00,0.0120
3581.00,0.0120
3580.00,0.0120
3579.00,0.0121
3578.00,0.0121
3577.00,0.0121
3576.00,0.0121
3575.00,0.0122
3574.00,0.0123
3573.00,0.0123
3572.00,0.0123
3571.00,0.0123
3570.00,0.0122
3569.00,0.0123
3568.00,0.0123
3567.00,0.0124
3566.00,0.0124
3565.00,0.0125
3564.00,0.0125
3563.00,0.0124
3562.00,0.0125
3561.00,0.0125
3560.00,0.0126
3559.00,0.0126
3558.00,0.0127
3557.00,0.0127
3556.00,0.0128
3555.00,0.0128
3554.00,0.0128
3553.00,0.0129
3552.00,0.0129
3551.00,0.0129
3550.00,0.0130
3549.00,0.0129
3548.00,0.0129
3547.00,0.0130
3546.00,0.0131
3545.00,0.0132
3544.00,0.0132
3543.00,0.0133
3542.00,0.0133
3541.00,0.0132
3540.00,0.0132
3539.00,0.0132
3538.00,0.0132
3537.00,0.0133
3536.00,0.0133
3535.00,0.0134
3534.00,0.0134
3533.00,0.0134
3532.00,0.0134
3531.00,0.0134
3530.00,0.0134
3529.00,0.0134
3528.00,0.0135
3527.00,0.0136
3526.00,0.0137
3525.00,0.0137
3524.00,0.0137
3523.00,0.0137
3522.00,0.0137
3521.00,0.0137
3520.00,0.0137
3519.00,0.0137
3518.00,0.0138
3517.00,0.0139
3516.00,0.0139
3515.00,0.0139
3514.00,0.0139
3513.00,0.0138
3512.00,0.0138
3511.00,0.0138
3510.00,0.0139
3509.00,0.0139
3508.00,0.0140
3507.00,0.0141
3506.00,0.0141
3505.00,0.0141
3504.00,0.0141
3503.00,0.0141
3502.00,0.0142
3501.00,0.0142
3500.00,0.0143
3499.00,0.0143
3498.00,0.0143
3497.00,0.0144
3496.00,0.0144
3495.00,0.0145
3494.00,0.0145
3493.00,0.0145
3492.00,0.0145
3491.00,0.0145
3490.00,0.0145
3489.00,0.0145
3488.00,0.0145
3487.00,0.0145
3486.00,0.0145
3485.00,0.0145
3484.00,0.0146
3483.00,0.0146
3482.00,0.0146
3481.00,0.0147
3480.00,0.0147
3479.00,0.0147
3478.00,0.0147
3477.00,0.0147
3476.00,0.0147
3475.00,0.0148
3474.00,0.0148
3473.00,0.0149
3472.00,0.0149
3471.00,0.0149
3470.00,0.0149
3469.00,0.0149
3468.00,0.0150
3467.00,0.0150
3466.00,0.0150
3465.00,0.0150
3464.00,0.0150
3463.00,0.0150
3462.00,0.0151
3461.00,0.0151
3460.00,0.0151
3459.00,0.0151
3458.00,0.0151
3457.00,0.0152
3456.00,0.0152
3455.00,0.0152
3454.00,0.0152
3453.00,0.0152
3452.00,0.0152
3451.00,0.0153
3450.00,0.0153
3449.00,0.0154
3448.00,0.0154
3447.00,0.0154
3446.00,0.0154
3445.00,0.0154
3444.00,0.0154
3443.00,0.0155
3442.00,0.0155
3441.00,0.0155
3440.00,0.0155
3439.00,0.0155
3438.00,0.0155
3437.00,0.0155
3436.00,0.0155
3435.00,0.0156
3434.00,0.0156
3433.00,0.0156
3432.00,0.0156
3431.00,0.0157
3430.00,0.0157
3429.00,0.0157
3428.00,0.0157
3427.00,0.0157
3426.00,0.0157
3425.00,0.0158
3424.00,0.0158
3423.00,0.0158
3422.00,0.0159
3421.00,0.0159
3420.00,0.0160
3419.00,0.0160
3418.00,0.0160
3417.00,0.0159
3416.00,0.0159
3415.00,0.0159
3414.00,0.0159
3413.00,0.0159
3412.00,0.0160
3411.00,0.0159
3410.00,0.0159
3409.00,0.0159
3408.00,0.0159
3407.00,0.0159
3406.00,0.0160
3405.00,0.0160
3404.00,0.0160
3403.00,0.0161
3402.00,0.0161
3401.00,0.0162
3400.00,0.0162
3399.00,0.0162
3398.00,0.0162
3397.00,0.0161
3396.00,0.0161
3395.00,0.0162
3394.00,0.0162
3393.00,0.0162
3392.00,0.0162
3391.00,0.0162
3390.00,0.0162
3389.00,0.0163
3388.00,0.0163
3387.00,0.0163
3386.00,0.0163
3385.00,0.0163
3384.00,0.0163
3383.00,0.0163
3382.00,0.0163
3381.00,0.0163
3380.00,0.0164
3379.00,0.0164
3378.00,0.0164
3377.00,0.0164
3376.00,0.0165
3375.00,0.0165
3374.00,0.0165
3373.00,0.0165
3372.00,0.0164
3371.00,0.0164
3370.00,0.0163
3369.00,0.0163
3368.00,0.0163
3367.00,0.0164
3366.00,0.0164
3365.00,0.0165
3364.00,0.0166
3363.00,0.0166
3362.00,0.0166
3361.00,0.0166
3360.00,0.0166
3359.00,0.0166
3358.00,0.0166
3357.00,0.0166
3356.00,0.0166
3355.00,0.0165
3354.00,0.0165
3353.00,0.0166
3352.00,0.0166
3351.00,0.0167
3350.00,0.0167
3349.00,0.0167
3348.00,0.0166
3347.00,0.0165
3346.00,0.0165
3345.00,0.0165
3344.00,0.0165
3343.00,0.0166
3342.00,0.0167
3341.00,0.0167
3340.00,0.0167
3339.00,0.0167
3338.00,0.0166
3337.00,0.0166
3336.00,0.0166
3335.00,0.0166
3334.00,0.0166
3333.00,0.0166
3332.00,0.0166
3331.00,0.0166
3330.00,0.0166
3329.00,0.0166
3328.00,0.0166
3327.00,0.0166
3326.00,0.0166
3325.00,0.0167
3324.00,0.0167
3323.00,0.0166
3322.00,0.0166
3321.00,0.0166
3320.00,0.0166
3319.00,0.0167
3318.00,0.0167
3317.00,0.0167
3316.00,0.0167
3315.00,0.0167
3314.00,0.0166
3313.00,0.0166
3312.00,0.0166
3311.00,0.0166
3310.00,0.0166
3309.00,0.0166
3308.00,0.0166
3307.00,0.0167
3306.00,0.0166
3305.00,0.0166
3304.00,0.0166
3303.00,0.0166
3302.00,0.0166
3301.00,0.0167
3300.00,0.0168
3299.00,0.0168
3298.00,0.0168
3297.00,0.0167
3296.00,0.0167
3295.00,0.0167
3294.00,0.0167
3293.00,0.0167
3292.00,0.0168
3291.00,0.0168
3290.00,0.0168
3289.00,0.0167
3288.00,0.0167
3287.00,0.0167
3286.00,0.0167
3285.00,0.0167
3284.00,0.0168
3283.00,0.0168
3282.00,0.0168
3281.00,0.0167
3280.00,0.0167
3279.00,0.0167
3278.00,0.0167
3277.00,0.0168
3276.00,0.0168
3275.00,0.0168
3274.00,0.0168
3273.00,0.0169
3272.00,0.0169
3271.00,0.0169
3270.00,0.0168
3269.00,0.0168
3268.00,0.0168
3267.00,0.0168
3266.00,0.0168
3265.00,0.0168
3264.00,0.0168
3263.00,0.0168
3262.00,0.0167
3261.00,0.0167
3260.00,0.0167
3259.00,0.0167
3258.00,0.0168
3257.00,0.0168
3256.00,0.0168
3255.00,0.0169
3254.00,0.0169
3253.00,0.0169
3252.00,0.0169
3251.00,0.0169
3250.00,0.0169
3249.00,0.0170
3248.00,0.0170
3247.00,0.0170
3246.00,0.0170
3245.00,0.0170
3244.00,0.0170
3243.00,0.0170
3242.00,0.0169
3241.00,0.0169
3240.00,0.0169
3239.00,0.0170
3238.00,0.0170
3237.00,0.0170
3236.00,0.0170
3235.00,0.0170
3234.00,0.0170
3233.00,0.0170
3232.00,0.0170
3231.00,0.0170
3230.00,0.0170
3229.00,0.0170
3228.00,0.0170
3227.00,0.0170
3226.00,0.0170
3225.00,0.0170
3224.00,0.0170
3223.00,0.0170
3222.00,0.0170
3221.00,0.0170
3220.00,0.0170
3219.00,0.0171
3218.00,0.0170
3217.00,0.0170
3216.00,0.0170
3215.00,0.0170
3214.00,0.0170
3213.00,0.0170
3212.00,0.0170
3211.00,0.0170
3210.00,0.0170
3209.00,0.0170
3208.00,0.0170
3207.00,0.0170
3206.00,0.0170
3205.00,0.0170
3204.00,0.0171
3203.00,0.0171
3202.00,0.0171
3201.00,0.0171
3200.00,0.0171
3199.00,0.0171
3198.00,0.0170
3197.00,0.0170
3196.00,0.0170
3195.00,0.0170
3194.00,0.0170
3193.00,0.0170
3192.00,0.0170
3191.00,0.0170
3190.00,0.0170
3189.00,0.0170
3188.00,0.0171
3187.00,0.0171
3186.00,0.0172
3185.00,0.0171
3184.00,0.0171
3183.00,0.0170
3182.00,0.0170
3181.00,0.0169
3180.00,0.0170
3179.00,0.0170
3178.00,0.0170
3177.00,0.0170
3176.00,0.0170
3175.00,0.0170
3174.00,0.0170
3173.00,0.0170
3172.00,0.0170
3171.00,0.0170
3170.00,0.0170
3169.00,0.0170
3168.00,0.0170
3167.00,0.0170
3166.00,0.0170
3165.00,0.0170
3164.00,0.0170
3163.00,0.0170
3162.00,0.0170
3161.00,0.0170
3160.00,0.0170
3159.00,0.0170
3158.00,0.0169
3157.00,0.0169
3156.00,0.0169
3155.00,0.0169
3154.00,0.0169
3153.00,0.0169
3152.00,0.0169
3151.00,0.0169
3150.00,0.0169
3149.00,0.0169
3148.00,0.0169
3147.00,0.0169
3146.00,0.0170
3145.00,0.0170
3144.00,0.0170
3143.00,0.0170
3142.00,0.0170
3141.00,0.0170
3140.00,0.0170
3139.00,0.0170
3138.00,0.0169
3137.00,0.0169
3136.00,0.0169
3135.00,0.0169
3134.00,0.0169
3133.00,0.0169
3132.00,0.0169
3131.00,0.0169
3130.00,0.0169
3129.00,0.0169
3128.00,0.0169
3127.00,0.0169
3126.00,0.0169
3125.00,0.0168
3124.00,0.0168
3123.00,0.0168
3122.00,0.0168
3121.00,0.0168
3120.00,0.0168
3119.00,0.0169
3118.00,0.0169
3117.00,0.0169
3116.00,0.0169
3115.00,0.0169
3114.00,0.0168
3113.00,0.0168
3112.00,0.0168
3111.00,0.0168
3110.00,0.0168
3109.00,0.0168
3108.00,0.0168
3107.00,0.0169
3106.00,0.0169
3105.00,0.0169
3104.00,0.0169
3103.00,0.0169
3102.00,0.0169
3101.00,0.0169
3100.00,0.0169
3099.00,0.0168
3098.00,0.0168
3097.00,0.0168
3096.00,0.0168
3095.00,0.0168
3094.00,0.0168
3093.00,0.0168
3092.00,0.0169
3091.00,0.0169
3090.00,0.0169
3089.00,0.0169
3088.00,0.0169
3087.00,0.0169
3086.00,0.0169
3085.00,0.0169
3084.00,0.0169
3083.00,0.0168
3082.00,0.0168
3081.00,0.0168
3080.00,0.0168
3079.00,0.0168
3078.00,0.0168
3077.00,0.0168
3076.00,0.0168
3075.00,0.0169
3074.00,0.0169
3073.00,0.0169
3072.00,0.0168
3071.00,0.0168
3070.00,0.0168
3069.00,0.0168
3068.00,0.0168
3067.00,0.0168
3066.00,0.0168
3065.00,0.0168
3064.00,0.0168
3063.00,0.0168
3062.00,0.0168
3061.00,0.0168
3060.00,0.0168
3059.00,0.0168
3058.00,0.0168
3057.00,0.0167
3056.00,0.0167
3055.00,0.0167
3054.00,0.0167
3053.00,0.0167
3052.00,0.0167
3051.00,0.0166
3050.00,0.0166
3049.00,0.0166
3048.00,0.0166
3047.00,0.0166
3046.00,0.0167
3045.00,0.0167
3044.00,0.0167
3043.00,0.0166
3042.00,0.0166
3041.00,0.0166
3040.00,0.0166
3039.00,0.0166
3038.00,0.0166
3037.00,0.0166
3036.00,0.0166
3035.00,0.0166
3034.00,0.0165
3033.00,0.0165
3032.00,0.0165
3031.00,0.0165
3030.00,0.0165
3029.00,0.0165
3028.00,0.0165
3027.00,0.0164
3026.00,0.0164
3025.00,0.0165
3024.00,0.0165
3023.00,0.0165
3022.00,0.0164
3021.00,0.0164
3020.00,0.0163
3019.00,0.0163
3018.00,0.0163
3017.00,0.0163
3016.00,0.0164
3015.00,0.0164
3014.00,0.0164
3013.00,0.0165
3012.00,0.0165
3011.00,0.0164
3010.00,0.0164
3009.00,0.0163
3008.00,0.0163
3007.00,0.0164
3006.00,0.0164
3005.00,0.0164
3004.00,0.0165
3003.00,0.0165
3002.00,0.0165
3001.00,0.0166
3000.00,0.0166
2999.00,0.0166
2998.00,0.0166
2997.00,0.0166
2996.00,0.0166
2995.00,0.0165
2994.00,0.0165
2993.00,0.0165
2992.00,0.0165
2991.00,0.0166
2990.00,0.0166
2989.00,0.0166
2988.00,0.0166
2987.00,0.0167
2986.00,0.0167
2985.00,0.0168
2984.00,0.0168
2983.00,0.0168
2982.00,0.0168
2981.00,0.0167
2980.00,0.0167
2979.00,0.0166
2978.00,0.0165
2977.00,0.0165
2976.00,0.0165
2975.00,0.0165
2974.00,0.0164
2973.00,0.0164
2972.00,0.0163
2971.00,0.0163
2970.00,0.0162
2969.00,0.0162
2968.00,0.0161
2967.00,0.0161
2966.00,0.0160
2965.00,0.0159
2964.00,0.0158
2963.00,0.0158
2962.00,0.0157
2961.00,0.0157
2960.00,0.0156
2959.00,0.0156
2958.00,0.0156
2957.00,0.0155
2956.00,0.0155
2955.00,0.0155
2954.00,0.0155
2953.00,0.0155
2952.00,0.0155
2951.00,0.0155
2950.00,0.0154
2949.00,0.0154
2948.00,0.0153
2947.00,0.0153
2946.00,0.0153
2945.00,0.0153
2944.00,0.0153
2943.00,0.0152
2942.00,0.0151
2941.00,0.0150
2940.00,0.0149
2939.00,0.0149
2938.00,0.0148
2937.00,0.0147
2936.00,0.0146
2935.00,0.0145
2934.00,0.0144
2933.00,0.0143
2932.00,0.0143
2931.00,0.0142
2930.00,0.0140
2929.00,0.0139
2928.00,0.0138
2927.00,0.0137
2926.00,0.0137
2925.00,0.0136
2924.00,0.0136
2923.00,0.0137
2922.00,0.0137
2921.00,0.0137
2920.00,0.0138
2919.00,0.0138
2918.00,0.0138
2917.00,0.0139
2916.00,0.0140
2915.00,0.0141
2914.00,0.0142
2913.00,0.0143
2912.00,0.0143
2911.00,0.0144
2910.00,0.0144
2909.00,0.0145
2908.00,0.0145
2907.00,0.0146
2906.00,0.0147
2905.00,0.0148
2904.00,0.0148
2903.00,0.0148
2902.00,0.0148
2901.00,0.0149
2900.00,0.0149
2899.00,0.0149
2898.00,0.0150
2897.00,0.0150
2896.00,0.0150
2895.00,0.0150
2894.00,0.0150
